,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DISTANCE,LABEL
0,2012,3,4,AA,IAH,DFW,TX,2020,224.0,0
1,2012,3,5,AA,IAH,DFW,TX,2020,224.0,0
2,2012,3,7,AA,IAH,DFW,TX,2020,224.0,0
3,2012,3,1,AA,IAH,DFW,TX,2020,224.0,0
4,2012,3,2,AA,IAH,DFW,TX,2020,224.0,0
5,2012,3,3,AA,IAH,DFW,TX,2020,224.0,0
6,2012,3,4,AA,IAH,DFW,TX,2020,224.0,1
7,2012,3,5,AA,IAH,DFW,TX,2020,224.0,1
8,2012,3,7,AA,IAH,DFW,TX,2020,224.0,0
9,2012,3,1,AA,IAH,DFW,TX,2020,224.0,0
10,2012,3,2,AA,IAH,DFW,TX,2020,224.0,0
11,2012,3,3,AA,IAH,DFW,TX,2020,224.0,0
12,2012,3,4,AA,IAH,DFW,TX,2020,224.0,0
13,2012,3,5,AA,IAH,DFW,TX,2020,224.0,0
14,2012,3,7,AA,IAH,DFW,TX,2020,224.0,0
15,2012,3,1,AA,IAH,DFW,TX,2020,224.0,3
16,2012,3,2,AA,IAH,DFW,TX,2020,224.0,1
17,2012,3,3,AA,IAH,DFW,TX,2020,224.0,0
18,2012,3,4,AA,IAH,DFW,TX,2020,224.0,0
19,2012,3,5,AA,IAH,DFW,TX,2020,224.0,0
20,2012,3,7,AA,IAH,DFW,TX,2020,224.0,0
21,2012,3,1,AA,IAH,DFW,TX,2020,224.0,0
22,2012,3,2,AA,IAH,DFW,TX,2020,224.0,0
23,2012,3,3,AA,IAH,DFW,TX,2020,224.0,0
24,2012,3,4,AA,IAH,DFW,TX,2020,224.0,1
25,2012,3,5,AA,IAH,DFW,TX,2020,224.0,0
26,2012,3,4,AA,IAH,MIA,FL,600,964.0,0
27,2012,3,5,AA,IAH,MIA,FL,600,964.0,0
28,2012,3,6,AA,IAH,MIA,FL,600,964.0,3
29,2012,3,7,AA,IAH,MIA,FL,600,964.0,0
30,2012,3,1,AA,IAH,MIA,FL,600,964.0,0
31,2012,3,2,AA,IAH,MIA,FL,600,964.0,0
32,2012,3,3,AA,IAH,MIA,FL,600,964.0,0
33,2012,3,4,AA,IAH,MIA,FL,600,964.0,0
34,2012,3,5,AA,IAH,MIA,FL,600,964.0,1
35,2012,3,6,AA,IAH,MIA,FL,600,964.0,1
36,2012,3,7,AA,IAH,MIA,FL,600,964.0,0
37,2012,3,1,AA,IAH,MIA,FL,600,964.0,0
38,2012,3,2,AA,IAH,MIA,FL,600,964.0,1
39,2012,3,3,AA,IAH,MIA,FL,600,964.0,0
40,2012,3,4,AA,IAH,MIA,FL,600,964.0,0
41,2012,3,5,AA,IAH,MIA,FL,600,964.0,0
42,2012,3,6,AA,IAH,MIA,FL,600,964.0,0
43,2012,3,7,AA,IAH,MIA,FL,600,964.0,0
44,2012,3,1,AA,IAH,MIA,FL,600,964.0,0
45,2012,3,2,AA,IAH,MIA,FL,600,964.0,0
46,2012,3,3,AA,IAH,MIA,FL,600,964.0,1
47,2012,3,4,AA,IAH,MIA,FL,600,964.0,1
48,2012,3,5,AA,IAH,MIA,FL,600,964.0,0
49,2012,3,6,AA,IAH,MIA,FL,600,964.0,1
50,2012,3,7,AA,IAH,MIA,FL,600,964.0,0
51,2012,3,1,AA,IAH,MIA,FL,600,964.0,0
52,2012,3,2,AA,IAH,MIA,FL,600,964.0,0
53,2012,3,3,AA,IAH,MIA,FL,600,964.0,0
54,2012,3,4,AA,IAH,MIA,FL,600,964.0,0
55,2012,3,5,AA,IAH,MIA,FL,600,964.0,0
56,2012,3,6,AA,IAH,MIA,FL,600,964.0,0
57,2012,3,4,AA,IAH,DFW,TX,1110,224.0,0
58,2012,3,5,AA,IAH,DFW,TX,1110,224.0,0
59,2012,3,6,AA,IAH,DFW,TX,1110,224.0,0
60,2012,3,7,AA,IAH,DFW,TX,1110,224.0,0
61,2012,3,1,AA,IAH,DFW,TX,1110,224.0,0
62,2012,3,2,AA,IAH,DFW,TX,1110,224.0,0
63,2012,3,3,AA,IAH,DFW,TX,1110,224.0,0
64,2012,3,4,AA,IAH,DFW,TX,1110,224.0,1
65,2012,3,5,AA,IAH,DFW,TX,1110,224.0,1
66,2012,3,6,AA,IAH,DFW,TX,1110,224.0,0
67,2012,3,7,AA,IAH,DFW,TX,1110,224.0,1
68,2012,3,1,AA,IAH,DFW,TX,1110,224.0,0
69,2012,3,2,AA,IAH,DFW,TX,1110,224.0,0
70,2012,3,3,AA,IAH,DFW,TX,1110,224.0,0
71,2012,3,4,AA,IAH,DFW,TX,1110,224.0,0
72,2012,3,5,AA,IAH,DFW,TX,1110,224.0,0
73,2012,3,6,AA,IAH,DFW,TX,1110,224.0,0
74,2012,3,7,AA,IAH,DFW,TX,1110,224.0,0
75,2012,3,1,AA,IAH,DFW,TX,1110,224.0,0
76,2012,3,2,AA,IAH,DFW,TX,1110,224.0,1
77,2012,3,3,AA,IAH,DFW,TX,1110,224.0,0
78,2012,3,4,AA,IAH,DFW,TX,1110,224.0,0
79,2012,3,5,AA,IAH,DFW,TX,1110,224.0,0
80,2012,3,6,AA,IAH,DFW,TX,1110,224.0,0
81,2012,3,7,AA,IAH,DFW,TX,1110,224.0,0
82,2012,3,1,AA,IAH,DFW,TX,1110,224.0,0
83,2012,3,2,AA,IAH,DFW,TX,1110,224.0,0
84,2012,3,3,AA,IAH,DFW,TX,1110,224.0,0
85,2012,3,4,AA,IAH,DFW,TX,1110,224.0,0
86,2012,3,5,AA,IAH,DFW,TX,1110,224.0,0
87,2012,3,6,AA,IAH,DFW,TX,1110,224.0,0
88,2012,3,4,AA,IAH,DFW,TX,1450,224.0,0
89,2012,3,5,AA,IAH,DFW,TX,1450,224.0,0
90,2012,3,6,AA,IAH,DFW,TX,1450,224.0,0
91,2012,3,7,AA,IAH,DFW,TX,1450,224.0,0
92,2012,3,1,AA,IAH,DFW,TX,1450,224.0,0
93,2012,3,2,AA,IAH,DFW,TX,1450,224.0,0
94,2012,3,3,AA,IAH,DFW,TX,1450,224.0,0
95,2012,3,4,AA,IAH,DFW,TX,1450,224.0,1
96,2012,3,5,AA,IAH,DFW,TX,1450,224.0,1
97,2012,3,6,AA,IAH,DFW,TX,1450,224.0,1
98,2012,3,7,AA,IAH,DFW,TX,1450,224.0,0
99,2012,3,1,AA,IAH,DFW,TX,1450,224.0,0
100,2012,3,2,AA,IAH,DFW,TX,1450,224.0,0
101,2012,3,3,AA,IAH,DFW,TX,1450,224.0,0
102,2012,3,4,AA,IAH,DFW,TX,1450,224.0,0
103,2012,3,5,AA,IAH,DFW,TX,1450,224.0,0
104,2012,3,6,AA,IAH,DFW,TX,1450,224.0,0
105,2012,3,7,AA,IAH,DFW,TX,1450,224.0,0
106,2012,3,1,AA,IAH,DFW,TX,1450,224.0,0
107,2012,3,2,AA,IAH,DFW,TX,1450,224.0,1
108,2012,3,3,AA,IAH,DFW,TX,1450,224.0,1
109,2012,3,4,AA,IAH,DFW,TX,1450,224.0,0
110,2012,3,5,AA,IAH,DFW,TX,1450,224.0,0
111,2012,3,6,AA,IAH,DFW,TX,1450,224.0,0
112,2012,3,7,AA,IAH,DFW,TX,1450,224.0,0
113,2012,3,1,AA,IAH,DFW,TX,1450,224.0,0
114,2012,3,2,AA,IAH,DFW,TX,1450,224.0,1
115,2012,3,3,AA,IAH,DFW,TX,1450,224.0,0
116,2012,3,4,AA,IAH,DFW,TX,1450,224.0,0
117,2012,3,5,AA,IAH,DFW,TX,1450,224.0,0
118,2012,3,6,AA,IAH,DFW,TX,1450,224.0,0
119,2012,3,4,AA,IAH,DFW,TX,1620,224.0,0
120,2012,3,5,AA,IAH,DFW,TX,1620,224.0,0
121,2012,3,6,AA,IAH,DFW,TX,1620,224.0,0
122,2012,3,7,AA,IAH,DFW,TX,1620,224.0,0
123,2012,3,1,AA,IAH,DFW,TX,1620,224.0,0
124,2012,3,2,AA,IAH,DFW,TX,1620,224.0,0
125,2012,3,3,AA,IAH,DFW,TX,1620,224.0,0
126,2012,3,4,AA,IAH,DFW,TX,1620,224.0,1
127,2012,3,5,AA,IAH,DFW,TX,1620,224.0,1
128,2012,3,6,AA,IAH,DFW,TX,1620,224.0,0
129,2012,3,7,AA,IAH,DFW,TX,1620,224.0,0
130,2012,3,1,AA,IAH,DFW,TX,1620,224.0,0
131,2012,3,2,AA,IAH,DFW,TX,1620,224.0,0
132,2012,3,3,AA,IAH,DFW,TX,1620,224.0,0
133,2012,3,4,AA,IAH,DFW,TX,1620,224.0,0
134,2012,3,5,AA,IAH,DFW,TX,1620,224.0,0
135,2012,3,6,AA,IAH,DFW,TX,1620,224.0,0
136,2012,3,7,AA,IAH,DFW,TX,1620,224.0,0
137,2012,3,1,AA,IAH,DFW,TX,1620,224.0,3
138,2012,3,2,AA,IAH,DFW,TX,1620,224.0,1
139,2012,3,3,AA,IAH,DFW,TX,1620,224.0,0
140,2012,3,4,AA,IAH,DFW,TX,1620,224.0,0
141,2012,3,5,AA,IAH,DFW,TX,1620,224.0,0
142,2012,3,6,AA,IAH,DFW,TX,1620,224.0,0
143,2012,3,7,AA,IAH,DFW,TX,1620,224.0,0
144,2012,3,1,AA,IAH,DFW,TX,1620,224.0,1
145,2012,3,2,AA,IAH,DFW,TX,1620,224.0,0
146,2012,3,3,AA,IAH,DFW,TX,1620,224.0,0
147,2012,3,4,AA,IAH,DFW,TX,1620,224.0,1
148,2012,3,5,AA,IAH,DFW,TX,1620,224.0,1
149,2012,3,6,AA,IAH,DFW,TX,1620,224.0,0
150,2012,3,4,AA,IAH,DFW,TX,705,224.0,0
151,2012,3,5,AA,IAH,DFW,TX,705,224.0,0
152,2012,3,6,AA,IAH,DFW,TX,705,224.0,0
